,job_start_date,firm_name,gis_latitude,gis_longitude
967,2019-09-23,MLS ELECTRIC LLC,40.682031,-73.947821
968,2021-04-21,D. TRAYNOR ELEC'L CORP,40.722421,-73.949994
969,2018-08-08,"KINGS ELECTRIC CO., INC.",40.695525,-73.996924
970,2018-03-29,DOLA ELECTRICAL CO. INC,40.647665,-73.958158
971,2019-06-07,HI-RITE ELECTRIC CORP,40.691996,-73.966601
972,2019-04-22,"POWER SURGE ELECTRIC, INC",40.598103,-73.977797
973,2021-12-21,MAC FHIONNGHAILE & SONS,40.695538,-73.987119
974,2021-04-06,HIRSCHEL ELECTRICAL INC.,40.65959,-73.962656
975,2018-09-10,"FOSTER ELEC'L SVC., INC.",40.703042,-73.947181
976,2017-12-08,KWONG MING ELECTRIC INC,40.626587,-74.005634
977,2019-10-11,LEONE ELECTRIC CO. INC,40.64551,-73.976296
978,2018-04-10,NATIONAL MAINT. INC,40.692632,-73.985269
979,2021-07-09,MATROS AUTOMATED ELEC'L C,40.757637,-73.965337
980,2021-10-29,OCNYC ELECL CONTNG INC,40.728934,-73.988436
981,2021-12-20,V. VASS ELECTRIC CORP,40.62329,-73.970317
982,2019-11-18,V & V ELEC'L CONTR'G INC.,40.669046,-73.955647
983,2021-11-03,EIS ELECTRIC CORP DBA,40.787261,-73.978066
984,2020-02-06,"RAINBOW ELECTRIC CO., INC",40.679818,-73.90104
985,2020-02-06,"RAINBOW ELECTRIC CO., INC",40.679818,-73.90104
986,2020-01-09,HIVOLTS ELECTRICAL INC,40.656225,-73.896029
987,2019-11-15,"POWER SURGE ELECTRIC, INC",40.689773,-73.952319
988,2017-12-07,RIVIERA ELECTRIC CORP,40.713374,-73.947566
989,2023-02-13,"KINGS ELECTRIC CO., INC.",40.587902,-73.955888
990,2018-03-28,BERGER QUALITY ELEC'L CON,40.657434,-73.929027
991,2021-09-07,STRONG ISLAND ELECTRIC LL,40.692272,-73.954705
992,2022-12-22,"KINGS ELECTRIC CO., INC.",40.625058,-73.989218
993,2022-12-22,WATTS ELECTRICAL CORP,40.658501,-73.991692
994,2017-12-08,SPIRELLI ELECTRIC INC,40.590137,-73.939915
995,2021-09-07,STRONG ISLAND ELECTRIC LL,40.645199,-73.889546
996,2021-10-29,SOPOT ELECTRIC CORP,40.695514,-73.995734
997,2020-03-13,ANCO ELECTL CONTCTNG INC,40.591109,-73.9391
998,2020-03-13,ANCO ELECTL CONTCTNG INC,40.589317,-73.98131
999,2021-12-20,V. VASS ELECTRIC CORP,40.635471,-73.978905
