,issue_date,contact_1_name,latitude,longitude
523,2006-06-02,ALARM DETECTION SYSTEMS OF ILL,41.771973938,-87.574155591
529,2006-05-30,"QUANTUM CROSSINGS, LLC",41.889977687,-87.631227083
532,2022-09-19,G & V ELECTRIC,41.814038244,-87.633357062
533,2006-05-30,"QUANTUM CROSSINGS, LLC",41.889834512,-87.636968615
537,2006-05-30,"QUANTUM CROSSINGS, LLC",41.890196279,-87.626735453
539,2006-05-30,"QUANTUM CROSSINGS, LLC",41.8904068,-87.645667244
541,2006-05-30,"QUANTUM CROSSINGS, LLC",41.894716004,-87.631716142
542,2021-03-22,JAMERSON & BAUWENS ELEC. CONTR,41.895711709,-87.619135025
546,2006-05-30,"QUANTUM CROSSINGS, LLC",41.894608101,-87.63993438
547,2006-05-30,"QUANTUM CROSSINGS, LLC",41.895010597,-87.63698622
551,2006-06-20,A.D.T. INC.,41.877843388,-87.62781527
554,2022-07-23,HAUGER ELECTRIC,41.852816682,-87.632155289
555,2006-05-19,GURTZ ELECTRIC COMPANY,41.891236593,-87.617527839
557,2007-07-07,ELEC-COM TECHNOLOGIES GROUP,41.880931558,-87.632189133
558,2006-01-23,SONAR ELECTRICAL CONSTRUCTION,42.012118688,-87.685140449
559,2006-05-26,"QUANTUM CROSSINGS, LLC",41.894826853,-87.624396157
560,2007-07-07,"PINNACLE SERVICES, INC.",41.66993356,-87.543969512
564,2006-05-26,"QUANTUM CROSSINGS, LLC",41.895067022,-87.623027214
565,2006-05-26,"QUANTUM CROSSINGS, LLC",41.894746733,-87.629559714
567,2007-08-23,"PRIME ELECTRIC CO., INC.",42.008536401,-87.914428439
570,2006-06-20,A.D.T. INC.,41.937090618,-87.769024042
572,2006-05-23,GEORGE ELECTRIC CO.,41.919085985,-87.706882223
574,2007-07-07,"QUANTUM CROSSINGS, LLC",41.878025655,-87.632062286
578,2006-05-19,A B B,41.917631144,-87.641371942
580,2007-07-24,DVC ELECTRIC,41.857628717,-87.653054422
582,2006-05-19,RAGO ELECTRIC CO.,41.777723137,-87.716410237
583,2006-05-19,RAGO ELECTRIC CO.,41.847100836,-87.719900926
584,2006-05-19,RAGO ELECTRIC CO.,41.849273817,-87.696162042
588,2006-07-17,FIRST SECURITY SYSTEMS,41.892147408,-87.624019106
597,2022-07-24,SAM DILBERTO,41.914604988,-87.802436817
600,2006-06-12,ILLINOIS BELL / AT&T,41.886377406,-87.62438167
601,2006-06-12,ILLINOIS BELL / AT&T,41.898948542,-87.623974988
603,2007-05-16,"BORN ELECTRIC COMPANY, LLC",41.925160476,-87.659889167
604,2007-07-07,MCWILLIAMS ELECTRIC CO. INC.,41.883565313,-87.639637284
605,2006-05-25,A TO Z ELECTRIC,41.743303911,-87.561387437
606,2006-06-20,A.D.T. INC.,41.932231782,-87.785583898
607,2006-08-15,JOSEPH ELECTRIC,41.973894579,-87.870815982
611,2006-05-30,"QUANTUM CROSSINGS, LLC",41.889382363,-87.647446926
619,2007-07-07,BRIGHT ELECTRIC SERVICE,41.778253688,-87.600259324
621,2006-05-31,"QUANTUM CROSSINGS, LLC",41.889186808,-87.635656177
625,2007-07-07,"LOMBARDI ELECTRIC, INC.",41.889354252,-87.624102456
626,2006-05-31,"QUANTUM CROSSINGS, LLC",41.889382363,-87.647446926
629,2006-05-31,"QUANTUM CROSSINGS, LLC",41.889231578,-87.637534357
631,2006-05-22,TELEPLUS INC.,41.742635368,-87.559869726
632,2006-05-31,"QUANTUM CROSSINGS, LLC",41.889232658,-87.632380478
634,2006-05-22,ELECTRONIC TECHNOLOGIES CORP.,41.892270733,-87.634755003
635,2006-05-31,"QUANTUM CROSSINGS, LLC",41.889348869,-87.64067013
636,2006-05-31,"QUANTUM CROSSINGS, LLC",41.885879028,-87.640263176
639,2006-05-31,"QUANTUM CROSSINGS, LLC",41.885767285,-87.647885669
641,2007-08-23,ALPH & OMEGA ELECT.& GEN. CONT,41.839513979,-87.713288703
642,2006-05-31,"QUANTUM CROSSINGS, LLC",41.88590606,-87.624371837
643,2006-05-24,HERNANDEZ ELECTRIC,41.914674602,-87.697264352
644,2006-05-24,HERNANDEZ ELECTRIC,41.914781856,-87.697267502
645,2006-05-24,HERNANDEZ ELECTRIC,41.914835483,-87.697269077
646,2006-05-24,HERNANDEZ ELECTRIC,41.91488911,-87.697270652
649,2006-05-31,"QUANTUM CROSSINGS, LLC",41.886709222,-87.634710899
652,2006-05-22,ELECTRIC SERVICE CORPS,41.763557902,-87.670921095
659,2006-05-22,"DOUGLAS ELECTRIC CONTRACTING,",41.908534702,-87.628654023
670,2006-05-23,CHAVEZ ELECTRIC,41.872294239,-87.631442198
671,2006-05-23,WRIGHT ADVERTISING & SIGNS,41.793593041,-87.705631128
675,2006-05-22,LOGOS ELECTRICAL SERVICES,41.780040679,-87.694491549
678,2017-03-20,PAUL M CARUSO,,
680,2006-05-31,"QUANTUM CROSSINGS, LLC",41.885243233,-87.637164794
681,2006-05-22,"HOEKSEMA ELECTRIC SERVICE, INC",41.834512574,-87.679220702
687,2006-05-22,"TITAN ELECTRIC, INC.",41.961688762,-87.741394117
690,2007-07-07,"CAMELOT ELECTRIC, INC.",41.695191372,-87.713025334
691,2006-05-22,CAPITOL ELECTRIC CONSTRUCTION,41.92396451,-87.758665947
692,2006-05-22,RAGO ELECTRIC CO.,41.71534405,-87.573805837
700,2006-05-22,RIORDAN ELECTRIC,41.774720004,-87.788601227
705,2006-05-22,GEORGE  STASEVICIUS,41.884361877,-87.633164538
710,2006-06-20,A.D.T. INC.,41.770827199,-87.671406701
711,2006-05-22,ICON IDENTITY SOLUTIONS,41.765816416,-87.576145475
712,2006-05-22,ICON IDENTITY SOLUTIONS,41.765816416,-87.576145475
713,2006-05-22,ICON IDENTITY SOLUTIONS,41.765816416,-87.576145475
714,2006-05-22,ICON IDENTITY SOLUTIONS,41.765816416,-87.576145475
715,2006-05-22,ICON IDENTITY SOLUTIONS,41.765816416,-87.576145475
716,2006-05-25,ICON IDENTITY SOLUTIONS,41.765816416,-87.576145475
717,2006-05-25,ICON IDENTITY SOLUTIONS,41.765816416,-87.576145475
718,2006-05-25,ICON IDENTITY SOLUTIONS,41.765816416,-87.576145475
719,2006-05-25,ICON IDENTITY SOLUTIONS,41.765816416,-87.576145475
720,2006-05-22,DVC ELECTRIC,41.705749199,-87.560705104
723,2011-03-21,"BATTAGLIA INDUSTRIES, INC.",41.851281694,-87.735191031
724,2006-05-22,EXIT ELECTRICAL CONSTRUCTION I,41.788726116,-87.65974013
726,2006-05-22,BLUE LINE ELECTRICAL CONTRACTO,41.957332197,-87.751797419
727,2006-05-22,BLUE LINE ELECTRICAL CONTRACTO,41.924718783,-87.716569103
733,2022-07-23,HAUGER ELECTRIC,41.968405337,-87.762605325
734,2022-07-23,HAUGER ELECTRIC,41.852816682,-87.632155289
736,2022-07-23,"HE ELECTRIC, INC.",41.900733269,-87.619857078
739,2022-07-23,FELICIANO GUZMAIN,41.918891264,-87.726465315
740,2022-07-23,HAUGER ELECTRIC,41.968405337,-87.762605325
742,2022-07-23,"HE ELECTRIC, INC.",41.932902467,-87.636373165
745,2006-06-20,A.D.T. INC.,41.856799159,-87.618987393
751,2021-10-10,MALACHI BAKER DBA MALACHI ELE,41.680865736,-87.621930686
758,2006-06-01,"DYNAMIC ELECTRIC, INC.",41.722481032,-87.583076201
759,2006-05-23,ALEX'S ELECTRIC,41.935328639,-87.703988222
760,2006-05-31,"QUANTUM CROSSINGS, LLC",41.88945828,-87.620368376
761,2006-06-01,"DYNAMIC ELECTRIC, INC.",41.64471232,-87.610544892
765,2021-03-22,"LOMBARDI ELECTRIC, INC.",41.87685514,-87.641544074
766,2006-05-30,"QUANTUM CROSSINGS, LLC",41.900619454,-87.63120496
767,2006-06-01,"DYNAMIC ELECTRIC, INC.",41.662996375,-87.58202276
771,2006-05-23,"ELTRON, INC.",41.779343147,-87.729959188
775,2007-07-07,SHARLEN ELECTRIC COMPANY,41.682696265,-87.559501385
776,2006-05-23,DOYLE SIGINS INC,41.706454243,-87.670532173
780,2006-05-31,"QUANTUM CROSSINGS, LLC",41.900762714,-87.640954383
783,2006-06-01,BROADVIEW SECURITY INC,41.772083466,-87.700667911
784,2006-05-31,"QUANTUM CROSSINGS, LLC",41.900423838,-87.632581832
785,2006-05-23,CARTMAN'S ELECTRICAL CONTRACTI,41.761363116,-87.66872566
786,2006-06-01,BROADVIEW SECURITY INC,41.858229774,-87.727526899
788,2006-06-01,BROADVIEW SECURITY INC,41.808294524,-87.686520848
789,2006-05-31,"QUANTUM CROSSINGS, LLC",41.892193657,-87.629522008
790,2006-05-23,REXAM BEVERAGE CAN,41.815921877,-87.653233369
795,2006-05-23,"SIRANT ELECTRIC, INC.",41.85970513,-87.653245046
800,2006-05-23,REXAM BEVERAGE CAN,41.815921877,-87.653233369
801,2006-05-31,"QUANTUM CROSSINGS, LLC",41.893293677,-87.620392895
802,2006-05-23,A.D.A. ELECTRIC SERVICE,41.861810214,-87.712702776
804,2023-03-18,TEXA ENGINEERING,41.925010628,-87.700551966
807,2006-05-23,SECURITY ELECTRICAL CONSTRUCTI,41.750833839,-87.673008111
808,2006-05-23,CURRAGH ELECTRIC CO.,42.013122798,-87.686350976
812,2022-07-23,HAUGER ELECTRIC,41.852816682,-87.632155289
813,2022-07-24,CLD CONSTRUCTION INC,42.000794026,-87.694993803
817,2022-07-23,HAUGER ELECTRIC,41.968405337,-87.762605325
820,2006-08-02,"NORTH SHORE ELECTRIC, INC.",42.022138213,-87.668689779
821,2006-05-31,"QUANTUM CROSSINGS, LLC",41.892259516,-87.635518226
822,2006-05-31,"QUANTUM CROSSINGS, LLC",41.892200429,-87.639783552
823,2006-05-31,"QUANTUM CROSSINGS, LLC",41.891975608,-87.614580271
825,2006-05-31,"QUANTUM CROSSINGS, LLC",41.892396602,-87.624030353
826,2006-05-31,"QUANTUM CROSSINGS, LLC",41.892383417,-87.626804787
